Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Length of Longest V-Shaped Diagonal Segment,100.0,0.3348780873137079,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
MEDIUM,Rotating the Box,83.5,0.7905035762111885,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,3Sum,78.3,0.3684032224799348,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Two Sum,71.3,0.5554649447450056,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Best Time to Buy and Sell Stock,71.3,0.5506575362933042,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,71.3,0.36716067551319403,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Block Placement Queries,71.3,0.16508500659533928,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
MEDIUM,Number of Adjacent Elements With the Same Color,71.3,0.5511582186511668,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
EASY,Reverse Linked List,66.7,0.7900447980593179,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Group Anagrams,60.8,0.7072404678527145,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,60.8,0.61572567210846,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Longest Common Prefix,52.4,0.45269110688405495,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Find Peak Element,52.4,0.4646485122868662,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Split the Array,52.4,0.5901937369668668,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,Number of Black Blocks,52.4,0.38025149585639784,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
EASY,Substrings of Size Three with Distinct Characters,52.4,0.7529684143971587,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Hash Table, String, Sliding Window, Counting"
