Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Length of Longest V-Shaped Diagonal Segment,100.0,0.39893391995938743,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
MEDIUM,Rotating the Box,84.8,0.7901910962892383,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
EASY,Two Sum,79.4,0.5533850289622274,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,3Sum,76.0,0.36665432163628964,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Trapping Rain Water,72.0,0.6456471692789895,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,LRU Cache,72.0,0.4471777500820861,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Best Time to Buy and Sell Stock,67.1,0.5492506261563889,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Block Placement Queries,67.1,0.16084481034084788,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
EASY,Valid Parentheses,67.1,0.42023555605916135,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,67.1,0.566213284830344,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Text Justification,60.9,0.47493079690922935,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Longest Common Prefix,60.9,0.45102035196514195,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Longest Substring Without Repeating Characters,60.9,0.3654386989643562,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,60.9,0.7056677557515532,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Islands,52.0,0.6186236632735422,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Word Ladder,52.0,0.42186872775793544,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
MEDIUM,Restore IP Addresses,52.0,0.5261771465260151,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Split the Array,52.0,0.5886675183242278,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
MEDIUM,Find Peak Element,52.0,0.46398422721604865,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Walls and Gates,52.0,0.6270101057990238,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
MEDIUM,Top K Frequent Elements,52.0,0.6425178577732799,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
