Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Generate Parentheses,100.0,0.767503634818081,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Longest Substring Without Repeating Characters,85.4,0.3654386543013969,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Search in Rotated Sorted Array,85.4,0.42507757402030566,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Merge Intervals,85.4,0.4902752909757336,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,LRU Cache,85.4,0.447177824942315,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Two Sum,85.4,0.5533849687668169,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Coin Change,85.4,0.4604634376640987,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Longest Consecutive Sequence,85.4,0.47126642048316664,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Diameter of Binary Tree,73.8,0.6304806755964747,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Diagonal Traverse,73.8,0.6272058725747037,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,The Maze,73.8,0.592155859072636,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Trapping Rain Water,73.8,0.6456472084407545,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Word Search,73.8,0.4483873047527911,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,3Sum,73.8,0.36665422239100665,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,73.8,0.42023544625298953,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,"Pow(x, n)",73.8,0.36694808561566394,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Remove All Adjacent Duplicates in String II,73.8,0.592798500014725,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
MEDIUM,Rotting Oranges,73.8,0.5618150165079124,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Palindromic Substring,73.8,0.3549096150358573,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Flatten Nested List Iterator,73.8,0.6524340921911087,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Set Matrix Zeroes,73.8,0.5925548063352674,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
