Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.44550537056427847,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,98.9,0.36418531806113835,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Best Time to Buy and Sell Stock,87.3,0.5482911310894257,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Max Stack,87.3,0.45311660507547763,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
EASY,Valid Parentheses,80.9,0.41916920911330846,https://leetcode.com/problems/valid-parentheses,"String, Stack"
HARD,Trapping Rain Water,78.4,0.6439795947297278,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,78.4,0.704376334215549,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Sort Colors,75.5,0.6647649808738074,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,All Nodes Distance K in Binary Tree,72.3,0.6592856222040966,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Word Break,72.3,0.4793525074593856,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Longest Palindromic Substring,72.3,0.3537819385315634,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Spiral Matrix,72.3,0.530963222783186,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Islands,68.6,0.6170171546896198,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
