Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find the Safest Path in a Grid,100.0,0.48557090283420157,https://leetcode.com/problems/find-the-safest-path-in-a-grid,"Array, Binary Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
MEDIUM,Minimizing Array After Replacing Pairs With Their Product,100.0,0.3932748538011696,https://leetcode.com/problems/minimizing-array-after-replacing-pairs-with-their-product,"Array, Dynamic Programming, Greedy"
MEDIUM,Count and Say,87.5,0.580204460867233,https://leetcode.com/problems/count-and-say,String
MEDIUM,Best Time to Buy and Sell Stock II,87.5,0.6895520123227389,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,87.5,0.39781119067303783,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
MEDIUM,Water and Jug Problem,87.5,0.42584522274669423,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
MEDIUM,Maximum Number of Weeks for Which You Can Work,87.5,0.4107353032274051,https://leetcode.com/problems/maximum-number-of-weeks-for-which-you-can-work,"Array, Greedy"
MEDIUM,Product of Array Except Self,87.5,0.6743184617229849,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Rotate String,87.5,0.6358648992255551,https://leetcode.com/problems/rotate-string,"String, String Matching"
HARD,Verbal Arithmetic Puzzle,87.5,0.3464234063855824,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
