Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5533862568531395,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Minimum Moves to Capture The Queen,100.0,0.21256028315707304,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,"Math, Enumeration"
EASY,Remove Duplicates from Sorted Array,77.3,0.5980728980099143,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Count Primes,77.3,0.3454677361280803,https://leetcode.com/problems/count-primes,"Array, Math, Enumeration, Number Theory"
MEDIUM,Reverse Integer,77.3,0.300070516906472,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Second Highest Salary,77.3,0.43247330212852225,https://leetcode.com/problems/second-highest-salary,Database
HARD,Median of Two Sorted Arrays,77.3,0.43234565121648233,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Palindrome Number,77.3,0.5886354101853873,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Parentheses,70.2,0.4202370363384752,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Rotate Array,70.2,0.42652581529228684,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Sort Characters By Frequency,70.2,0.7378850665037302,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Kth Largest Element in an Array,70.2,0.677407173328385,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Article Views I,70.2,0.7717883205808075,https://leetcode.com/problems/article-views-i,Database
MEDIUM,Longest Substring Without Repeating Characters,70.2,0.3654405641876718,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Palindrome,70.2,0.5045381307090713,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Majority Element,60.2,0.655717949416684,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
EASY,Roman to Integer,60.2,0.6441571992291962,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Binary Search,60.2,0.5929546984864995,https://leetcode.com/problems/binary-search,"Array, Binary Search"
EASY,Find the Distance Value Between Two Arrays,60.2,0.6992104811488072,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
EASY,Linked List Cycle,60.2,0.5217979875105894,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Add Two Numbers,60.2,0.4571996631770871,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Jump Game,60.2,0.39214241137635075,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Climbing Stairs,60.2,0.5341042637248786,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
EASY,Merge Sorted Array,60.2,0.5249722460946417,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Create Hello World Function,60.2,0.8205536368872747,https://leetcode.com/problems/create-hello-world-function,
