Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Trapping Rain Water,91.0,0.6510199452828925,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Flatten Nested List Iterator,91.0,0.6522839525510098,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Implement Trie (Prefix Tree),85.1,0.6793476066937868,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
MEDIUM,Design Twitter,85.1,0.42652380510531485,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
MEDIUM,Merge Intervals,85.1,0.49395238677841924,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Tweet Counts Per Frequency,77.4,0.4527819680101729,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
MEDIUM,Investments in 2016,77.4,0.5013112456137093,https://leetcode.com/problems/investments-in-2016,Database
HARD,Best Meeting Point,77.4,0.6125143892983315,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,The Skyline Problem,66.6,0.4396233271583687,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Rectangles Area,66.6,0.6868475237510385,https://leetcode.com/problems/rectangles-area,Database
EASY,Happy Number,66.6,0.580726470983853,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Customer Placing the Largest Number of Orders,66.6,0.6436460880860977,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database
MEDIUM,Number of Black Blocks,66.6,0.3861732264480743,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
EASY,Reverse Linked List,66.6,0.7920657527486747,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Validate IP Address,66.6,0.27817524620453365,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Tree Node,66.6,0.7387169555898169,https://leetcode.com/problems/tree-node,Database
MEDIUM,Masking Personal Information,66.6,0.5051515216968702,https://leetcode.com/problems/masking-personal-information,String
MEDIUM,Process Tasks Using Servers,66.6,0.4114853370058328,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
MEDIUM,Number of Connected Components in an Undirected Graph,66.6,0.6420110092713132,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
MEDIUM,Remove All Occurrences of a Substring,66.6,0.7806968639516182,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Lowest Common Ancestor of a Binary Search Tree,66.6,0.6831072582646219,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Design Authentication Manager,66.6,0.5785482426684576,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Count Sub Islands,66.6,0.728263014007497,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Pascal's Triangle,66.6,0.7702154627018639,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
