Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5492714631126066,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Flatten Nested List Iterator,96.3,0.6516991969156504,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Merge Intervals,96.3,0.4919332722268555,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Design Twitter,94.2,0.42370677360358394,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
HARD,Trapping Rain Water,94.2,0.6481190753359953,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Tweet Counts Per Frequency,94.2,0.45202121775856,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
MEDIUM,Implement Trie (Prefix Tree),94.2,0.6770012182141728,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Best Meeting Point,91.9,0.6124298145240693,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
MEDIUM,LRU Cache,91.9,0.4493678413873448,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Investments in 2016,91.9,0.4996269075267139,https://leetcode.com/problems/investments-in-2016,Database
EASY,Customer Placing the Largest Number of Orders,89.4,0.6439268295447246,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database
MEDIUM,Minimum Genetic Mutation,89.4,0.5530613193810553,https://leetcode.com/problems/minimum-genetic-mutation,"Hash Table, String, Breadth-First Search"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,89.4,0.821256554282131,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Validate IP Address,89.4,0.277671821849418,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Count Student Number in Departments,89.4,0.5971886864548019,https://leetcode.com/problems/count-student-number-in-departments,Database
MEDIUM,Rectangles Area,89.4,0.6870726029390368,https://leetcode.com/problems/rectangles-area,Database
EASY,Invalid Tweets,89.4,0.8557267849118447,https://leetcode.com/problems/invalid-tweets,Database
MEDIUM,Tree Node,89.4,0.7373133409516774,https://leetcode.com/problems/tree-node,Database
MEDIUM,Number of Black Blocks,89.4,0.38025149585639784,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Masking Personal Information,89.4,0.5039316909538435,https://leetcode.com/problems/masking-personal-information,String
MEDIUM,Design Authentication Manager,89.4,0.5766618911174786,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Elements to Add to Form a Given Sum,89.4,0.4423901922421066,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,"Array, Greedy"
EASY,Binary Gap,89.4,0.6452825604233177,https://leetcode.com/problems/binary-gap,Bit Manipulation
