Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Summary Ranges,100.0,0.5302484768932422,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.6923361123158723,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
MEDIUM,Find K Closest Elements,95.4,0.486686656754684,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Valid Palindrome II,87.5,0.43027189520012515,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Longest Substring Without Repeating Characters,85.0,0.3693617129878996,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,String Compression,85.0,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Isomorphic Strings,82.2,0.46857985622916554,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
EASY,Valid Palindrome,79.0,0.5096354153051617,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Maximize Distance to Closest Person,79.0,0.4898732183487074,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Longest Strictly Increasing or Strictly Decreasing Subarray,75.4,0.6504033553116321,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,Array
MEDIUM,Subarray Sum Equals K,75.4,0.45476208343007196,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Line Reflection,75.4,0.3601319248289713,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,Group Anagrams,71.1,0.7092883082997726,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,One Edit Distance,71.1,0.34477696888871256,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
HARD,Reconstruct Itinerary,71.1,0.43605633703588564,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Merge Intervals,71.1,0.493952611273816,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Find the Prefix Common Array of Two Arrays,71.1,0.8705002393016348,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays,"Array, Hash Table, Bit Manipulation"
EASY,Is Subsequence,71.1,0.4838256584742853,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Binary Tree Right Side View,71.1,0.6704258864448341,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Insert Delete GetRandom O(1),71.1,0.5499185329837445,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Search in Rotated Sorted Array,65.8,0.42837211264300534,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Merge Sorted Array,65.8,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Move Zeroes,65.8,0.6280402443388765,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Basic Calculator II,65.8,0.4581138691872612,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Find All Anagrams in a String,65.8,0.5220071349201708,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
EASY,Squares of a Sorted Array,65.8,0.7321921721974125,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Binary Tree Maximum Path Sum,59.0,0.41224280010589104,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Lowest Common Ancestor of a Binary Tree,59.0,0.6675497290352994,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Interval List Intersections,59.0,0.7267720917127461,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
MEDIUM,Count Substrings Without Repeating Character,59.0,0.760929463629684,https://leetcode.com/problems/count-substrings-without-repeating-character,"Hash Table, String, Sliding Window"
HARD,Median of Two Sorted Arrays,59.0,0.43814592308826145,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Find Duplicate Subtrees,59.0,0.6009115183707429,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Permutation in String,59.0,0.47247815307452273,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Add Two Numbers,59.0,0.4622508203776938,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
MEDIUM,Min Stack,59.0,0.5644513974486727,https://leetcode.com/problems/min-stack,"Stack, Design"
EASY,Destination City,49.5,0.7943375928894831,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
MEDIUM,Max Consecutive Ones III,49.5,0.6593936372054472,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Lowest Common Ancestor of a Binary Tree III,49.5,0.8246678882272103,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree"
MEDIUM,Find Minimum in Rotated Sorted Array,49.5,0.5264826193633825,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Number of Islands,49.5,0.6231994794917457,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Swap Nodes in Pairs,49.5,0.6720136828647639,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Remove Nth Node From End of List,49.5,0.48961080430536247,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Implement Rand10() Using Rand7(),49.5,0.4585972286873645,https://leetcode.com/problems/implement-rand10-using-rand7,"Math, Rejection Sampling, Randomized, Probability and Statistics"
HARD,Minimum Window Substring,49.5,0.45350717448159306,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,49.5,0.3584612117986065,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Design Hit Counter,49.5,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,Simplify Path,49.5,0.47854346003751436,https://leetcode.com/problems/simplify-path,"String, Stack"
EASY,Merge Two Sorted Lists,49.5,0.6684090056943416,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
