Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.6923361123158723,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
EASY,Summary Ranges,95.2,0.5302484768932422,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,String Compression,89.2,0.580915717497265,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Find K Closest Elements,88.3,0.486686656754684,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
EASY,Isomorphic Strings,83.9,0.46857985622916554,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Subarray Sum Equals K,82.3,0.45476208343007196,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Permutation in String,81.9,0.47247815307452273,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Insert Delete GetRandom O(1),81.0,0.5499185329837445,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Valid Palindrome,81.0,0.5096354153051617,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Move Zeroes,80.6,0.6280402443388765,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Line Reflection,80.1,0.3601319248289713,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,Longest Substring Without Repeating Characters,79.7,0.3693617129878996,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Merge Intervals,77.6,0.493952611273816,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Group Anagrams,76.6,0.7092883620495999,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Two Sum,74.8,0.5577699935138669,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,73.5,0.623199546917401,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Valid Parentheses,72.9,0.4232284395118605,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,One Edit Distance,72.9,0.34477696888871256,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
EASY,Valid Palindrome II,72.2,0.43027189520012515,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Interval List Intersections,69.9,0.7267720917127461,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
HARD,Trapping Rain Water,67.4,0.6510195479297859,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Find All Anagrams in a String,65.4,0.5220071349201708,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Min Stack,65.4,0.5644513974486727,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Longest Palindromic Substring,65.4,0.3584612117986065,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Merge Sorted Array,64.4,0.5291952521829845,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Design an ATM Machine,62.2,0.42233663966078594,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
MEDIUM,Generate Parentheses,62.2,0.7713286717803378,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Design Hit Counter,59.6,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,LRU Cache,58.2,0.45214611041922415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Evaluate Reverse Polish Notation,58.2,0.549502578136929,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,Is Subsequence,58.2,0.4838256584742853,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Validate Binary Search Tree,56.7,0.343803953439491,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Merge Two Sorted Lists,56.7,0.6684090056943416,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Longest Substring with At Most K Distinct Characters,56.7,0.49496202908621634,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
HARD,Minimum Window Substring,55.0,0.45350717448159306,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Binary Tree Right Side View,55.0,0.6704258864448341,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,55.0,0.5525962811427569,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Destination City,55.0,0.7943375928894831,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
HARD,Reconstruct Itinerary,53.2,0.4360568336732645,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Lowest Common Ancestor of a Binary Tree,53.2,0.6675497290352994,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Max Consecutive Ones III,53.2,0.6593936372054472,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Simplify Path,53.2,0.47854346003751436,https://leetcode.com/problems/simplify-path,"String, Stack"
HARD,Merge k Sorted Lists,53.2,0.5677421026542292,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
