Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Random Pick with Weight,100.0,0.48327437049454064,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
EASY,Destination City,86.5,0.7943027633351311,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
MEDIUM,Course Schedule,86.5,0.4871431104376269,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
EASY,Minimum String Length After Removing Substrings,75.9,0.7705981614920357,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
MEDIUM,Letter Case Permutation,75.9,0.7491422905528866,https://leetcode.com/problems/letter-case-permutation,"String, Backtracking, Bit Manipulation"
HARD,Word Ladder II,75.9,0.27130027348831454,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,75.9,0.35843130672167756,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Insert Delete GetRandom O(1),75.9,0.5496812368097784,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String Compression,75.9,0.5758883691097834,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Merge Intervals,75.9,0.4902755962594297,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Top K Frequent Words,75.9,0.5904271630106127,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
HARD,Find the Closest Palindrome,75.9,0.31578537105441157,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
EASY,Valid Anagram,75.9,0.6633039631215403,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Group Anagrams,75.9,0.705669150863345,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,"Filter Restaurants by Vegan-Friendly, Price and Distance",75.9,0.6299512464354705,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Array, Sorting"
MEDIUM,Top K Frequent Elements,75.9,0.6425182658697246,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,75.9,0.6876181860444661,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Two Pointers, String, String Matching"
HARD,The Skyline Problem,75.9,0.43751382926937205,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
EASY,Minimum Index Sum of Two Lists,75.9,0.5758849279200329,https://leetcode.com/problems/minimum-index-sum-of-two-lists,"Array, Hash Table, String"
MEDIUM,Reverse Words in a String,75.9,0.5080450921782774,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Reverse Linked List,75.9,0.7884950261111263,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
EASY,Longest Common Prefix,75.9,0.4510216154636796,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Decode String,75.9,0.6084060929987263,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Active Businesses,75.9,0.6588179923351037,https://leetcode.com/problems/active-businesses,Database
MEDIUM,Longest Substring Without Repeating Characters,75.9,0.3654399706998148,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,75.9,0.5533861840853552,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Word Ladder,75.9,0.4218701965095374,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
