Difficulty,Title,Frequency,Acceptance Rate,Link
EASY,Destination City,100.0,0.7948866779484579,https://leetcode.com/problems/destination-city
MEDIUM,Course Schedule,100.0,0.4815999390643515,https://leetcode.com/problems/course-schedule
EASY,Two Sum,97.5,0.5468064942166617,https://leetcode.com/problems/two-sum
MEDIUM,Longest Substring Without Repeating Characters,97.5,0.3604583025913693,https://leetcode.com/problems/longest-substring-without-repeating-characters
MEDIUM,Letter Case Permutation,97.5,0.7467594525632104,https://leetcode.com/problems/letter-case-permutation
MEDIUM,Top K Frequent Words,97.5,0.5877617270779544,https://leetcode.com/problems/top-k-frequent-words
EASY,Minimum Index Sum of Two Lists,97.5,0.5707617719684304,https://leetcode.com/problems/minimum-index-sum-of-two-lists
HARD,Find the Closest Palindrome,97.5,0.3160091505858073,https://leetcode.com/problems/find-the-closest-palindrome
EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,97.5,0.689341954424263,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence
MEDIUM,String Compression,97.5,0.5683479411526424,https://leetcode.com/problems/string-compression
MEDIUM,"Filter Restaurants by Vegan-Friendly, Price and Distance",97.5,0.6293283624244478,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance
MEDIUM,Decode String,97.5,0.604519704861894,https://leetcode.com/problems/decode-string
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,97.5,0.35717900438130584,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
MEDIUM,Insert Delete GetRandom O(1),97.5,0.5482858097233609,https://leetcode.com/problems/insert-delete-getrandom-o1
MEDIUM,Top K Frequent Elements,97.5,0.6385663316328453,https://leetcode.com/problems/top-k-frequent-elements
EASY,Valid Anagram,97.5,0.6589739095058625,https://leetcode.com/problems/valid-anagram
HARD,The Skyline Problem,97.5,0.4345030606441149,https://leetcode.com/problems/the-skyline-problem
EASY,Reverse Linked List,97.5,0.7835436048430329,https://leetcode.com/problems/reverse-linked-list
MEDIUM,Active Businesses,97.5,0.6585121563031667,https://leetcode.com/problems/active-businesses
MEDIUM,Reverse Words in a String,97.5,0.48960438445085686,https://leetcode.com/problems/reverse-words-in-a-string
HARD,Word Ladder,97.5,0.4138481359627153,https://leetcode.com/problems/word-ladder
HARD,Word Ladder II,97.5,0.27109602629550644,https://leetcode.com/problems/word-ladder-ii
MEDIUM,Merge Intervals,97.5,0.48545556165342907,https://leetcode.com/problems/merge-intervals
MEDIUM,Group Anagrams,97.5,0.7004728094406515,https://leetcode.com/problems/group-anagrams
EASY,Longest Common Prefix,97.5,0.4456167185713461,https://leetcode.com/problems/longest-common-prefix
MEDIUM,Random Pick with Weight,79.6,0.4795103026122941,https://leetcode.com/problems/random-pick-with-weight
EASY,Minimum String Length After Removing Substrings,56.0,0.7749830914196479,https://leetcode.com/problems/minimum-string-length-after-removing-substrings
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,56.0,0.3953860896179865,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string
