Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Largest Number After Digit Swaps by Parity,100.0,0.637345576330206,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
EASY,Day of the Year,100.0,0.48180859396683057,https://leetcode.com/problems/day-of-the-year,"Math, String"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,100.0,0.43382458559567927,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
EASY,Maximum Strong Pair XOR I,100.0,0.7484073520894932,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
HARD,Maximum Strong Pair XOR II,100.0,0.30742885101524914,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
HARD,Optimal Account Balancing,94.4,0.4993834011592058,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Robot Bounded In Circle,77.1,0.5622965278408281,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Find the Smallest Divisor Given a Threshold,69.9,0.6364670242650312,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Two Sum,69.9,0.5577700653216907,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Jump Game,69.9,0.39479173491284913,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Rotate Image,69.9,0.7790170073838115,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Degree of an Array,59.8,0.5742054384866819,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
EASY,Linked List Cycle,59.8,0.5257071813494855,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,59.8,0.36936145984598007,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Moving Average from Data Stream,59.8,0.7993794551727287,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
EASY,Remove Duplicates from Sorted Array,59.8,0.6035567835975525,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Longest Common Prefix,59.8,0.4548318229538721,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Search in Rotated Sorted Array,59.8,0.4283727044199793,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Contains Duplicate,59.8,0.6323641669359099,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
EASY,Palindrome Linked List,59.8,0.5585939012301956,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Number of Divisible Triplet Sums,59.8,0.6780637725701113,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
MEDIUM,LRU Cache,59.8,0.4521484728871755,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Minimum Increment to Make Array Unique,59.8,0.603327781549441,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
HARD,Word Ladder,59.8,0.42812023940598437,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
