Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Univalue Path,100.0,0.42492908308852617,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Merge Intervals,100.0,0.49195333690903714,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Path Sum III,100.0,0.46064127633397084,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Car Pooling,93.4,0.5600977674166857,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
HARD,Largest Rectangle in Histogram,84.9,0.47069972900578017,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Minimum Cost For Tickets,84.9,0.6740799318310807,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Find Peak Element,84.9,0.4646534543437596,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Koko Eating Bananas,84.9,0.4904305314547225,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Longest Consecutive Sequence,84.9,0.4707092040070557,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Unique Paths II,72.9,0.43003170544987074,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Rotting Oranges,72.9,0.5635938192996498,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Divide Two Integers,72.9,0.18312220272014484,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Maximum Width Ramp,72.9,0.5569131851523984,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
MEDIUM,Number of Islands,72.9,0.6207107416886316,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Next Permutation,72.9,0.42794548797307175,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Longest Repeating Character Replacement,72.9,0.5689885720232377,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Sliding Window Maximum,72.9,0.47465700968864505,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Longest Palindromic Substring,72.9,0.35649590254507424,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,72.9,0.4265050119792641,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Gas Station,72.9,0.4622563494230901,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Word Search,72.9,0.4502856549673563,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Rabbits in Forest,72.9,0.5830583741031502,https://leetcode.com/problems/rabbits-in-forest,"Array, Hash Table, Math, Greedy"
MEDIUM,Count Sub Islands,72.9,0.7279459534299194,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Make Array Empty,72.9,0.25389329850296394,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
EASY,Find the Distance Value Between Two Arrays,72.9,0.7005803932206455,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,LRU Cache,72.9,0.44938334436238486,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Open the Lock,72.9,0.6067235759210874,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
HARD,Maximum Sum BST in Binary Tree,72.9,0.43916229132094636,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Jump Game II,72.9,0.41357248709693906,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Trapping Rain Water,72.9,0.6481430927335574,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Maximum Good Subarray Sum,72.9,0.2011379030073151,https://leetcode.com/problems/maximum-good-subarray-sum,"Array, Hash Table, Prefix Sum"
