Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Apply Operations to Make Two Strings Equal,100.0,0.2711142929009539,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,"String, Dynamic Programming"
HARD,Split Array Largest Sum,70.9,0.5776957840648795,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Evaluate Division,70.9,0.6298827098701412,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
HARD,IPO,70.9,0.5300534687559234,https://leetcode.com/problems/ipo,"Array, Greedy, Sorting, Heap (Priority Queue)"
MEDIUM,Insert Delete GetRandom O(1),70.9,0.5492729002925316,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Next Greater Element II,70.9,0.6599659734725227,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
HARD,Maximum Profit in Job Scheduling,70.9,0.5438724532956553,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Substring with Concatenation of All Words,61.2,0.32941721819307657,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
HARD,Longest Valid Parentheses,61.2,0.36105368278770383,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
HARD,Minimum Window Substring,61.2,0.4509921782288573,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Count Univalue Subtrees,61.2,0.5712596488902686,https://leetcode.com/problems/count-univalue-subtrees,"Tree, Depth-First Search, Binary Tree"
HARD,Trapping Rain Water,61.2,0.6481312292939236,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Capacity To Ship Packages Within D Days,61.2,0.7178997632129654,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,61.2,0.6157295884372918,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Interleaving String,61.2,0.4201375437760016,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,61.2,0.3671676575529016,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Islands,61.2,0.6207005883978056,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Find a Peak Element II,61.2,0.5300146345925181,https://leetcode.com/problems/find-a-peak-element-ii,"Array, Binary Search, Matrix"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,61.2,0.3571532943821793,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Task Scheduler,61.2,0.6133068263525299,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
HARD,Reverse Nodes in k-Group,61.2,0.6268130423445406,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
