Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Group Anagrams,100.0,0.7056675299681952,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Largest Number,100.0,0.4099589116382131,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
HARD,Regular Expression Matching,91.7,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Number of Islands,79.9,0.6186237165389135,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Maximum Number of Events That Can Be Attended,79.9,0.32818051251039376,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
HARD,Wildcard Matching,79.9,0.2953224590559176,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Subarray Sum Equals K,79.9,0.45117897262689427,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Buddy Strings,79.9,0.3357935598101116,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
HARD,Dungeon Game,79.9,0.3924166229408223,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
MEDIUM,Daily Temperatures,79.9,0.671009458863768,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
EASY,Two Sum,79.9,0.5533852658785754,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Multiply Strings,79.9,0.42004923140967465,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Merge Intervals,79.9,0.49027498814294673,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Fair Distribution of Cookies,79.9,0.6930337340506108,https://leetcode.com/problems/fair-distribution-of-cookies,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Rotting Oranges,79.9,0.5618139824134727,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Edit Distance,79.9,0.5838340754554718,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Spiral Matrix,79.9,0.5330334207583659,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
