Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.5331668687732188,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Spiral Matrix,93.8,0.5271685113183942,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Best Time to Buy and Sell Stock,91.3,0.546840059719204,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,90.0,0.3518927948235257,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Valid Parentheses,88.5,0.4173940457332751,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Longest Substring Without Repeating Characters,88.5,0.36201662780915983,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,87.0,0.7021303662820851,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Move Zeroes,85.4,0.6247985480749555,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Compare Version Numbers,81.7,0.41891079037454376,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
MEDIUM,Number of Islands,79.7,0.6142359972408319,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Two Sum,79.7,0.5490432688941563,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Trapping Rain Water,77.4,0.6412322926762772,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,75.0,0.48695101558065973,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Zigzag Conversion,75.0,0.5060170900514248,https://leetcode.com/problems/zigzag-conversion,String
EASY,Longest Common Prefix,75.0,0.44745570117731487,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Container With Most Water,72.2,0.5703984883826902,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Rotate Array,72.2,0.4233815500248174,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Generate Parentheses,72.2,0.7639652436038576,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
EASY,Excel Sheet Column Number,72.2,0.6522496659419837,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
EASY,Merge Sorted Array,69.0,0.5209802549465851,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Rotate Image,69.0,0.7701663375953608,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Text Justification,69.0,0.4683156504443167,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Sort Even and Odd Indices Independently,65.4,0.6257563473437167,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
MEDIUM,Decode String,65.4,0.6057504557552198,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Sort Colors,65.4,0.6618203083733682,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Happy Number,65.4,0.5746141675675108,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Word Pattern,65.4,0.4274392756717768,https://leetcode.com/problems/word-pattern,"Hash Table, String"
MEDIUM,Combination Sum,61.1,0.7376252172514433,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Roman to Integer,61.1,0.6397785595538096,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Median of Two Sorted Arrays,61.1,0.4274725680458392,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Replace Elements with Greatest Element on Right Side,61.1,0.7137672404550408,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Array
EASY,Reverse Vowels of a String,61.1,0.5667687537939715,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
HARD,Wildcard Matching,61.1,0.2927081274019296,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Spiral Matrix II,61.1,0.7283823366248751,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
HARD,Largest Rectangle in Histogram,61.1,0.4644756361206135,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Partition Equal Subset Sum,61.1,0.47137109990862636,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,Search in Rotated Sorted Array,61.1,0.4221769000249593,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Integer to English Words,55.9,0.34232436212470413,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Non-overlapping Intervals,55.9,0.5484175741953771,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Valid Sudoku,55.9,0.6151422077584255,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Decode Ways,55.9,0.3601892117338091,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
EASY,Add to Array-Form of Integer,55.9,0.45000934230194317,https://leetcode.com/problems/add-to-array-form-of-integer,"Array, Math"
MEDIUM,Maximum Subarray,55.9,0.5164878103827945,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Count and Say,55.9,0.5771783178620443,https://leetcode.com/problems/count-and-say,String
MEDIUM,Restore IP Addresses,55.9,0.5221676377158972,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
EASY,Shuffle the Array,55.9,0.8875890969400028,https://leetcode.com/problems/shuffle-the-array,Array
MEDIUM,Word Break,55.9,0.47787970827060877,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,3Sum,55.9,0.362788446317273,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Edit Distance,55.9,0.5807705729945029,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,55.9,0.6871147601178275,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Single Number,55.9,0.7517137005081651,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Find the Duplicate Number,55.9,0.6224613327744796,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
MEDIUM,Permutations,49.2,0.8000935923594601,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Search Insert Position,49.2,0.4819728616373185,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,String Compression,49.2,0.570725602777312,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Palindrome Number,49.2,0.5850832682470597,https://leetcode.com/problems/palindrome-number,Math
EASY,Find the Index of the First Occurrence in a String,49.2,0.44346690093226326,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Integer to Roman,49.2,0.6765163682010334,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Product of Array Except Self,49.2,0.6731221066694252,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Diagonal Traverse,49.2,0.6230046229994654,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
HARD,Regular Expression Matching,49.2,0.2889128493558095,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Word Search,49.2,0.444881097747461,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,3Sum Closest,49.2,0.4653941617930417,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
EASY,Maximum Population Year,49.2,0.6209563042099336,https://leetcode.com/problems/maximum-population-year,"Array, Counting, Prefix Sum"
MEDIUM,Maximum Sum of an Hourglass,49.2,0.7573961508023372,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
MEDIUM,Longest Increasing Subsequence,49.2,0.570615175180347,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
EASY,Binary Search,49.2,0.5905412501528583,https://leetcode.com/problems/binary-search,"Array, Binary Search"
HARD,Longest Valid Parentheses,49.2,0.355354301635841,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Letter Combinations of a Phone Number,49.2,0.6290669998903593,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Reverse Only Letters,49.2,0.6631500574508319,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
MEDIUM,Find Triangular Sum of an Array,49.2,0.7880250254218301,https://leetcode.com/problems/find-triangular-sum-of-an-array,"Array, Math, Simulation, Combinatorics"
MEDIUM,Longest Consecutive Sequence,49.2,0.4725508978091103,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,House Robber,39.8,0.5192203622421016,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Reverse Linked List II,39.8,0.48983604268599096,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Palindrome Linked List,39.8,0.5500594140982903,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Largest Number,39.8,0.4075434742393375,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Next Permutation,39.8,0.4217894866342115,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Longest Repeating Character Replacement,39.8,0.5628776978417266,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Set Matrix Zeroes,39.8,0.5874369104799765,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
EASY,Pascal's Triangle,39.8,0.7629534238921407,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
MEDIUM,Unique Binary Search Trees,39.8,0.6208146948363958,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
EASY,First Unique Character in a String,39.8,0.6313301653690557,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Remove Duplicates from Sorted Array,39.8,0.5922425574279798,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Jump Game,39.8,0.39056544357774614,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Remove K Digits,39.8,0.3435624299594843,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
EASY,Design HashMap,39.8,0.6565196199900472,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
EASY,Merge Strings Alternately,39.8,0.8169999525612855,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Find the Winner of the Circular Game,39.8,0.8198005070273578,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
EASY,Middle of the Linked List,39.8,0.8000773061409849,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
EASY,Number of Days Between Two Dates,39.8,0.509744423674968,https://leetcode.com/problems/number-of-days-between-two-dates,"Math, String"
MEDIUM,Remove Duplicates from Sorted Array II,39.8,0.6189074420931912,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
EASY,Excel Sheet Column Title,39.8,0.4273381018304876,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
