Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Climbing Stairs,100.0,0.534103480571511,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Spiral Matrix,98.1,0.5330334207583659,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Longest Palindromic Substring,96.1,0.3549099116573772,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
EASY,Best Time to Buy and Sell Stock,96.1,0.5492507253761075,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Group Anagrams,93.9,0.7056675865895179,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,93.9,0.36543896808557735,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,90.2,0.4202357901282674,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Decode String,88.8,0.6084055798690464,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Number of Islands,87.3,0.6186236022273818,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
EASY,Move Zeroes,85.7,0.6264099951179686,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Two Sum,84.1,0.553385247631161,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Sort Even and Odd Indices Independently,84.1,0.6245770506882166,https://leetcode.com/problems/sort-even-and-odd-indices-independently,"Array, Sorting"
MEDIUM,Merge Intervals,84.1,0.4902749101132054,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Compare Version Numbers,82.3,0.42083819800764777,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
HARD,Trapping Rain Water,82.3,0.645647772319481,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Rotate Image,80.3,0.7742719930680149,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
EASY,Find Winner on a Tic Tac Toe Game,78.2,0.54122229401558,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
MEDIUM,Largest Number,78.2,0.4099589116382131,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
MEDIUM,Container With Most Water,78.2,0.5740098153349221,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Longest Common Prefix,78.2,0.45102100508310916,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
MEDIUM,Remove All Occurrences of a Substring,75.9,0.7800171455304072,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
MEDIUM,Zigzag Conversion,75.9,0.5107264888647458,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Generate Parentheses,75.9,0.767504415672,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Rotate Array,75.9,0.42652585384662783,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Excel Sheet Column Number,73.4,0.65429531274996,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
EASY,Roman to Integer,70.5,0.6441544547095313,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Merge Sorted Array,67.3,0.5249696374998994,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
HARD,Regular Expression Matching,67.3,0.2906633628293123,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Text Justification,67.3,0.47493079690922935,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Wildcard Matching,67.3,0.2953224590559176,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
EASY,Word Pattern,67.3,0.429070792596536,https://leetcode.com/problems/word-pattern,"Hash Table, String"
MEDIUM,Edit Distance,63.5,0.5838340754554718,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Longest Valid Parentheses,63.5,0.3590146562691919,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
MEDIUM,Sort Colors,63.5,0.666376809908254,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Search in Rotated Sorted Array,63.5,0.4250779659339041,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
EASY,Happy Number,63.5,0.5773602786180833,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
HARD,Median of Two Sorted Arrays,63.5,0.43234272504026683,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Valid Sudoku,63.5,0.6189174624333068,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Find the Duplicate Number,59.1,0.625091811106188,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
EASY,Replace Elements with Greatest Element on Right Side,59.1,0.7135526816517254,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Array
EASY,Reverse Vowels of a String,59.1,0.5745459372393847,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
MEDIUM,Partition Equal Subset Sum,59.1,0.4818634390442132,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
MEDIUM,Best Time to Buy and Sell Stock II,59.1,0.6909031423235842,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Non-overlapping Intervals,59.1,0.5513598510561031,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Combination Sum,59.1,0.7418799713305972,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
HARD,Largest Rectangle in Histogram,59.1,0.468409144825463,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Spiral Matrix II,59.1,0.7312530289628615,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
EASY,Remove Duplicates from Sorted Array,59.1,0.598069931961077,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Merge Strings Alternately,53.8,0.820563713872168,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Shuffle the Array,53.8,0.8880192021997055,https://leetcode.com/problems/shuffle-the-array,Array
MEDIUM,Diagonal Traverse,53.8,0.627207111962206,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Basic Calculator II,53.8,0.454543248187233,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Count and Say,53.8,0.581829851754168,https://leetcode.com/problems/count-and-say,String
EASY,Palindrome Number,53.8,0.5886340442887702,https://leetcode.com/problems/palindrome-number,Math
HARD,Word Search II,53.8,0.37117640464520796,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
EASY,Add to Array-Form of Integer,53.8,0.44999383081818584,https://leetcode.com/problems/add-to-array-form-of-integer,"Array, Math"
HARD,Integer to English Words,53.8,0.34274242670672167,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Product of Array Except Self,53.8,0.6750760845384615,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Integer to Roman,53.8,0.6809705274335391,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Letter Combinations of a Phone Number,53.8,0.6336682215810526,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Single Number,53.8,0.7556538219641789,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Maximum Subarray,53.8,0.518640862703969,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Restore IP Addresses,53.8,0.5261755678698617,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Decode Ways,53.8,0.36248822225213395,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,3Sum,53.8,0.36665450133987565,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Search Insert Position,53.8,0.48576324626882844,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
MEDIUM,3Sum Closest,53.8,0.46692982906751257,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Longest Consecutive Sequence,53.8,0.47126604363749824,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Word Break,53.8,0.48020574632819757,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Word Search,53.8,0.4483878603103723,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Longest Increasing Subsequence,46.9,0.5738414426043519,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
MEDIUM,Find Triangular Sum of an Array,46.9,0.787605867564863,https://leetcode.com/problems/find-triangular-sum-of-an-array,"Array, Math, Simulation, Combinatorics"
EASY,Maximum Population Year,46.9,0.6235882763624416,https://leetcode.com/problems/maximum-population-year,"Array, Counting, Prefix Sum"
MEDIUM,Asteroid Collision,46.9,0.4520835255666228,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
MEDIUM,House Robber,46.9,0.5209528009767901,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Subsets,46.9,0.8047240782783373,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Permutations,46.9,0.8033215317423417,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Find the Index of the First Occurrence in a String,46.9,0.446519595961395,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching"
MEDIUM,Jump Game,46.9,0.39214130224270827,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Middle of the Linked List,46.9,0.8027618054291346,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Minimum Time Difference,46.9,0.6228948201534451,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,Find the Winner of the Circular Game,46.9,0.8200582084508179,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
MEDIUM,Reverse Words in a String,46.9,0.5080423387019536,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
EASY,Reverse Only Letters,46.9,0.6655389561697634,https://leetcode.com/problems/reverse-only-letters,"Two Pointers, String"
EASY,Remove All Adjacent Duplicates In String,37.4,0.7123406248004485,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
MEDIUM,Remove Duplicates from Sorted Array II,37.4,0.6248593655743625,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Next Permutation,37.4,0.4258661786515415,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Isomorphic Strings,37.4,0.4656376022431486,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Reverse Linked List II,37.4,0.492684322247397,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
EASY,Binary Search,37.4,0.592953880347855,https://leetcode.com/problems/binary-search,"Array, Binary Search"
MEDIUM,Unique Binary Search Trees,37.4,0.622304276100753,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Cinema Seat Allocation,37.4,0.4256417135507492,https://leetcode.com/problems/cinema-seat-allocation,"Array, Hash Table, Greedy, Bit Manipulation"
MEDIUM,Remove K Digits,37.4,0.3458771507434843,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
EASY,First Unique Character in a String,37.4,0.6339023611172179,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,The Latest Time to Catch a Bus,37.4,0.28068626089027365,https://leetcode.com/problems/the-latest-time-to-catch-a-bus,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Coin Change,37.4,0.4604631906771188,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
EASY,Excel Sheet Column Title,37.4,0.43077338684779254,https://leetcode.com/problems/excel-sheet-column-title,"Math, String"
HARD,N-Queens,37.4,0.7205622799531384,https://leetcode.com/problems/n-queens,"Array, Backtracking"
EASY,Palindrome Linked List,37.4,0.553998474322969,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Maximum Sum of an Hourglass,37.4,0.7576990598697272,https://leetcode.com/problems/maximum-sum-of-an-hourglass,"Array, Matrix, Prefix Sum"
