Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Spending After Buying Items,100.0,0.5998318063116894,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
HARD,Split the Array to Make Coprime Products,100.0,0.28,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory"
MEDIUM,Bitwise OR of All Subsequence Sums,100.0,0.6495872916991123,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser"
HARD,Shortest Cycle in a Graph,100.0,0.3732846236710225,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph"
HARD,Number of Ways to Divide a Long Corridor,100.0,0.4880624803208893,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
MEDIUM,Count the Hidden Sequences,94.3,0.5672241994596443,https://leetcode.com/problems/count-the-hidden-sequences,"Array, Prefix Sum"
MEDIUM,Find and Replace Pattern,82.3,0.7682227495360653,https://leetcode.com/problems/find-and-replace-pattern,"Array, Hash Table, String"
MEDIUM,Total Cost to Hire K Workers,82.3,0.43071815916296174,https://leetcode.com/problems/total-cost-to-hire-k-workers,"Array, Two Pointers, Heap (Priority Queue), Simulation"
HARD,Cherry Pickup,76.6,0.37799559462528237,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
MEDIUM,Count Zero Request Servers,69.2,0.3359386051775357,https://leetcode.com/problems/count-zero-request-servers,"Array, Hash Table, Sliding Window, Sorting"
HARD,First Missing Positive,69.2,0.41007616011385006,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,LFU Cache,58.9,0.46439114559423084,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Two Sum II - Input Array Is Sorted,58.9,0.6331406841181432,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
MEDIUM,Jump Game II,58.9,0.41424799190627254,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
HARD,Self Crossing,58.9,0.32014908101292083,https://leetcode.com/problems/self-crossing,"Array, Math, Geometry"
MEDIUM,Number of Islands,58.9,0.6219964357677368,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Optimal Account Balancing,58.9,0.49873988086146326,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,3Sum,58.9,0.36956280529225916,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Largest Rectangle in Histogram,58.9,0.4721906383005763,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Unique Paths,58.9,0.657054009348505,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Frog Jump,58.9,0.46526029706033717,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Unique Paths II,58.9,0.4307259246351309,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Snakes and Ladders,58.9,0.4773375338137658,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
