Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Move Zeroes,100.0,0.6257721037293487,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,95.5,0.3641856608102721,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Kth Largest Element in an Array,90.1,0.6767055216806639,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Number of Islands,90.1,0.6170173971590345,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,LRU Cache,90.1,0.4455053947326405,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Group Anagrams,83.6,0.7043765782477547,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,83.6,0.4191696337543968,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Partition Equal Subset Sum,83.6,0.47253335601460256,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
HARD,Word Search II,83.6,0.37052924780276447,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Course Schedule II,83.6,0.5273971771059994,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Meeting Rooms II,83.6,0.5195251737160005,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Longest ZigZag Path in a Binary Tree,75.2,0.6635420950590446,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
HARD,Word Ladder,75.2,0.419822745332912,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
EASY,Meeting Rooms,75.2,0.5879525987773351,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
MEDIUM,Reorganize String,75.2,0.5584559174239699,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Decode String,75.2,0.6074709578368355,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Find Minimum in Rotated Sorted Array,75.2,0.5222737953845524,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
HARD,Concatenated Words,75.2,0.4935564782059445,https://leetcode.com/problems/concatenated-words,"Array, String, Dynamic Programming, Depth-First Search, Trie"
MEDIUM,Binary Search Tree to Greater Sum Tree,75.2,0.8831755384571379,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Binary Tree Zigzag Level Order Traversal,75.2,0.6109620418988899,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Nested List Weight Sum,63.4,0.8523919489109363,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search"
HARD,Integer to English Words,63.4,0.3426276110524168,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
MEDIUM,Permutations,63.4,0.8021911450632495,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Container With Most Water,63.4,0.572680563397657,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Rank Teams by Votes,63.4,0.5909234417298662,https://leetcode.com/problems/rank-teams-by-votes,"Array, Hash Table, String, Sorting, Counting"
HARD,Reconstruct Itinerary,63.4,0.4344605542239939,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
MEDIUM,Top K Frequent Elements,63.4,0.6415070781113321,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
EASY,Find Pivot Index,63.4,0.599964257528538,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Minimize Maximum Pair Sum in Array,63.4,0.8141579036635007,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
EASY,Two Sum,63.4,0.5518540033020292,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Binary Gap,63.4,0.6449495546485512,https://leetcode.com/problems/binary-gap,Bit Manipulation
EASY,Roman to Integer,63.4,0.6427286734875841,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Remove One Element to Make the Array Strictly Increasing,63.4,0.28542258622695826,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
EASY,Alternating Digit Sum,63.4,0.6847916440782104,https://leetcode.com/problems/alternating-digit-sum,Math
HARD,Minimum Window Subsequence,63.4,0.435758693721391,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
HARD,Design Skiplist,63.4,0.6186499808683518,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
