Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Total Cost to Make Arrays Unequal,100.0,0.4050409867463418,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,"Array, Hash Table, Greedy, Counting"
MEDIUM,Two Best Non-Overlapping Events,100.0,0.6107276152145172,https://leetcode.com/problems/two-best-non-overlapping-events,"Array, Binary Search, Dynamic Programming, Sorting, Heap (Priority Queue)"
MEDIUM,Most Beautiful Item for Each Query,100.0,0.6204026656749123,https://leetcode.com/problems/most-beautiful-item-for-each-query,"Array, Binary Search, Sorting"
MEDIUM,Shortest Subarray to be Removed to Make Array Sorted,79.1,0.5153108648882179,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,72.6,0.49027880275605407,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Smallest Good Base,63.4,0.4292320697485538,https://leetcode.com/problems/smallest-good-base,"Math, Binary Search"
EASY,Excel Sheet Column Number,63.4,0.65429925285295,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Decode String,63.4,0.6084074904038376,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
EASY,Two Sum,63.4,0.553388686475019,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Container With Most Water,63.4,0.574013926608635,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
