Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Subarrays With Median K,100.0,0.4528937339360099,https://leetcode.com/problems/count-subarrays-with-median-k,"Array, Hash Table, Prefix Sum"
HARD,Count Paths That Can Form a Palindrome in a Tree,89.7,0.4539975671790335,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask"
MEDIUM,LRU Cache,82.4,0.45078040455282326,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snakes and Ladders,72.2,0.47736069674873965,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Number of Islands,72.2,0.6219995389980735,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Subarray Sums Divisible by K,72.2,0.5558815183223823,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Most Stones Removed with Same Row or Column,72.2,0.621537889584237,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
HARD,Minimum Number of K Consecutive Bit Flips,72.2,0.6213801315385545,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum"
MEDIUM,Interleaving String,72.2,0.4209436053583782,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
HARD,Minimum Window Substring,72.2,0.45221358900580666,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Count Pairs of Connectable Servers in a Weighted Tree Network,72.2,0.5407020164301718,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network,"Array, Tree, Depth-First Search"
