Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Count Subarrays With Median K,100.0,0.44974430780469987,https://leetcode.com/problems/count-subarrays-with-median-k,"Array, Hash Table, Prefix Sum"
HARD,Count Paths That Can Form a Palindrome in a Tree,89.5,0.45153863432165325,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Dynamic Programming, Bit Manipulation, Tree, Depth-First Search, Bitmask"
MEDIUM,LRU Cache,82.0,0.4471819085247415,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snakes and Ladders,82.0,0.4407049129748271,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
HARD,Minimum Window Substring,82.0,0.44902676557735516,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Minimum Number of K Consecutive Bit Flips,71.4,0.6214122600944383,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,"Array, Bit Manipulation, Queue, Sliding Window, Prefix Sum"
MEDIUM,Number of Islands,71.4,0.6186241635850528,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Most Stones Removed with Same Row or Column,71.4,0.621129973356355,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Hash Table, Depth-First Search, Union Find, Graph"
MEDIUM,Subarray Sums Divisible by K,71.4,0.5555791033799393,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Interleaving String,71.4,0.4159101207663288,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Count Pairs of Connectable Servers in a Weighted Tree Network,71.4,0.5379585630108344,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network,"Array, Tree, Depth-First Search"
MEDIUM,House Robber II,71.4,0.43282330052489615,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
